,genes,mean,std
53,Htr3a,0.22721094239174625,0.8553478607530339
54,Kcnip1,0.10155977172383453,0.3554968872332737
55,Sco2,0.11211004130753027,0.29028238384828214
56,2610044O15Rik8,0.09838638970637678,0.2784735354698921
57,Tmem41b,0.2943311509693323,0.4728274912395371
58,Cdh9,0.04806636095344524,0.18569134237210055
59,Ppp2r3d,0.12583639768018898,0.3269013477017619
60,Usp28,0.16909509851611196,0.33921265194751704
61,Trib2,0.21857317152515227,0.46112568116135133
62,L2hgdh,0.08398525025106707,0.262905798396194
63,Cited2,0.16677067688915773,0.3571181715918648
64,Btbd11,0.056840230016264065,0.22656321084334427
65,Rgs12,0.20846933011901558,0.5323218362685221
66,Cnr1,0.6399680902378729,0.9448065347048918
67,Kcnd3,0.14224238906446193,0.30705671740175655
68,Htr3b,0.016453430418563564,0.1274001378537692
69,Sulf2,0.35844638578209426,0.5413046986207907
70,Capn5,0.2915811787627501,0.4959905872798267
71,Osbpl5,0.07368672613097903,0.24594690697910743
72,Nrtn,0.012921063961482881,0.10496408541443106
73,Nr2f1,0.5900436148320181,0.6581674006393207
74,Galnt14,0.08413695550202926,0.27315274302305187
75,Slc35f1,0.24385494489638063,0.40935459582268174
76,Mmgt1,0.24211963491015348,0.43771611098240953
77,Htr7,0.023064393231555347,0.13890290357742
78,E130309F12Rik,0.09231381517975977,0.2536580822539218
79,Wtap,0.27051210281456173,0.4464116410310723
80,Racgap1,0.02634120322701935,0.13904181268665336
81,Arhgap24,0.02385171635972085,0.12964593265904104
82,Maml3,0.059250768969539,0.24029863123248119
83,Gng2,0.6892494134468564,0.7445451240456276
84,Tnc,0.021282748483778435,0.15933649603886313
85,Fndc3a,0.2079606408584931,0.4123807029272341
86,Npas3,0.16701251334834616,0.406509035193992
87,Celf6,0.15137962724722165,0.32592461231383796
88,Inpp4b,0.03513326683080137,0.18028560978576805
89,Npas1,0.08071523877527075,0.32880733007848756
90,Ache,0.14893139524388432,0.3178759986639381
91,Clnk,0.010176762040958626,0.09350660263557002
92,Sel1l3,0.3181263866371006,0.5116037291442161
93,Adarb2,0.06906925992739578,0.2726334637999151
94,Nrxn3,1.0432723726736328,0.9179184963496568
95,Fam211b,0.046797437923720195,0.20125461381935406
96,Akap7,0.23433635773853137,0.4600868406788443
97,Chrna4,0.08969286090125657,0.2912206576876983
98,Ugp2,0.46600079960414453,0.6197362006567381
99,Tmem242,0.23745641491179062,0.44823593857698274
100,Csdc2,0.17282851414751887,0.3581081308520238
101,Camk2d,0.2235498323714277,0.42304719863391305
102,Rph3a,0.45496915781160757,0.7454672389245812
103,Olfm2,0.10171520160557625,0.2615766162632416
104,Pcp4l1,0.3334386281532773,0.6538051183055076
105,Ablim1,0.4808627242603635,0.731183878912047
106,Igf1,0.19407059951451378,0.5272212723795419
107,Sorcs2,0.10312628453960038,0.3003979106160582
108,Ddah1,0.2144561049396702,0.4491927330640245
109,3110043O21Rik,0.1744077642130574,0.35670372074979567
110,Adra1b,0.07499696436816959,0.2915121182622608
111,Vash2,0.009325541746794879,0.08683678624346979
112,2510009E07Rik,0.26640435425493364,0.4653116629689785
113,Zfp518b,0.0676472858015987,0.22405644552043222
114,Magi3,0.17729667718220074,0.38023163149887607
115,Capza1,0.3335556113085215,0.5189620753325194
116,Enho,0.21480096137761673,0.47458148023334323
117,Asic1,0.11115527398971076,0.2778247294310157
118,Gng4,0.0791747137532258,0.2604783521348019
119,Bend4,0.050789039568377416,0.19506379084844297
120,Stat5b,0.06397618265596285,0.24006034617095495
121,Cntn4,0.17688073189603706,0.34934655140979526
122,Slc35f4,0.0924077852543896,0.25543555630679593
123,Frmd7,0.013238961139256863,0.09512277654819232
124,Pdzd2,0.06702063822012376,0.247339375388523
125,Erbb4,0.040227988803644546,0.18053492320985465
